Category;Sentence
Weather;Looks like a storm is coming.
Weekend Plans;Hope your weekend is relaxing!
General Inquiry;What's been the highlight of your day?
Compliment;You always have the best suggestions.
Greeting;What's happening?
Weather;I love this sunny weather.
Weekend Plans;Looking forward to the weekend?
General Inquiry;Seen any good movies lately?
Compliment;You're really good at this.
Greeting;Good day!
Weather;Hope it doesn't get too hot.
Weekend Plans;Weekend's almost here, excited?
General Inquiry;Read any good books recently?
Compliment;Your positive energy is infectious.
Greeting;How do you do?
Weather;Fingers crossed for a snowy day.
Weekend Plans;Any special plans for Friday night?
General Inquiry;What's the latest good news?
Compliment;You have an amazing way with words.
Greeting;How's it going?
Weather;It's a perfect day for a walk.
Weekend Plans;Planning anything fun for Sunday?
General Inquiry;Keeping busy?
Compliment;That's a great idea.
Greeting;Nice to meet you.
Weather;Looks like a storm is coming.
Weekend Plans;Hope your weekend is relaxing!
General Inquiry;What's been the highlight of your day?
Compliment;You always have the best suggestions.
Greeting;What's happening?
Weather;I love this sunny weather.
Weekend Plans;Looking forward to the weekend?
General Inquiry;Seen any good movies lately?
Compliment;You're really good at this.
Greeting;Good day!
Weather;Hope it doesn't get too hot.
Weekend Plans;Weekend's almost here, excited?
General Inquiry;Read any good books recently?
Compliment;Your positive energy is infectious.
Greeting;How do you do?
Weather;Fingers crossed for a snowy day.
Weekend Plans;Any special plans for Friday night?
General Inquiry;What's the latest good news?
Compliment;You have an amazing way with words.
Greeting;How's it going?
Weather;It's a perfect day for a walk.
Weekend Plans;Planning anything fun for Sunday?
General Inquiry;Keeping busy?
Compliment;That's a great idea.
Greeting;Nice to meet you.
Weather;Looks like a storm is coming.
Weekend Plans;Hope your weekend is relaxing!
General Inquiry;What's been the highlight of your day?
Compliment;You always have the best suggestions.
Greeting;What's happening?
Weather;I love this sunny weather.
Weekend Plans;Looking forward to the weekend?
General Inquiry;Seen any good movies lately?
Compliment;You're really good at this.
Greeting;Good day!
Weather;Hope it doesn't get too hot.
Weekend Plans;Weekend's almost here, excited?
General Inquiry;Read any good books recently?
Compliment;Your positive energy is infectious.
Greeting;How do you do?
Weather;Fingers crossed for a snowy day.
Weekend Plans;Any special plans for Friday night?
General Inquiry;What's the latest good news?
Compliment;You have an amazing way with words.
Greeting;How's it going?
Weather;It's a perfect day for a walk.
Weekend Plans;Planning anything fun for Sunday?
General Inquiry;Keeping busy?
Compliment;That's a great idea.
Greeting;Nice to meet you.
Weather;Looks like a storm is coming.
Weekend Plans;Hope your weekend is relaxing!
General Inquiry;What's been the highlight of your day?
Compliment;You always have the best suggestions.
Greeting;What's happening?
Weather;I love this sunny weather.
Weekend Plans;Looking forward to the weekend?
General Inquiry;Seen any good movies lately?
Compliment;You're really good at this.
Greeting;Good day!
Weather;Hope it doesn't get too hot.
Weekend Plans;Weekend's almost here, excited?
General Inquiry;Read any good books recently?
Compliment;Your positive energy is infectious.
Greeting;How do you do?
Weather;Fingers crossed for a snowy day.
Weekend Plans;Any special plans for Friday night?
General Inquiry;What's the latest good news?
Compliment;You have an amazing way with words.
Greeting;How are things?
Weather;This rain is relentless.
Weekend Plans;Do you have any travel plans coming up?
General Inquiry;How's your work going?
Compliment;You're looking great today.
Greeting;Pleased to meet you.
Weather;I hope it clears up soon.
Weekend Plans;Looking forward to any events this weekend?
General Inquiry;Have you tried any new restaurants lately?
Compliment;You have a wonderful sense of style.
Greeting;What’s going on?
Weather;What a foggy day!
Weekend Plans;Going anywhere fun over the weekend?
General Inquiry;Do you have any holiday plans?
Compliment;Your enthusiasm is contagious.
Greeting;Lovely day, isn't it?
Weather;It's incredibly windy today.
Weekend Plans;Have any outdoor plans this weekend?
General Inquiry;Any new hobbies you’ve picked up?
Compliment;You always know how to lighten the mood.
Greeting;How's your morning?
Weather;This is the hottest day of the year!
Weekend Plans;Any family gatherings this weekend?
General Inquiry;What have you been up to lately?
Compliment;You're a great listener.
Greeting;How are things?
Weather;This rain is relentless.
Weekend Plans;Do you have any travel plans coming up?
General Inquiry;How's your work going?
Compliment;You're looking great today.
Greeting;Pleased to meet you.
Weather;I hope it clears up soon.
Weekend Plans;Looking forward to any events this weekend?
General Inquiry;Have you tried any new restaurants lately?
Compliment;You have a wonderful sense of style.
Greeting;What’s going on?
Weather;What a foggy day!
Weekend Plans;Going anywhere fun over the weekend?
General Inquiry;Do you have any holiday plans?
Compliment;Your enthusiasm is contagious.
Greeting;Lovely day, isn't it?
Weather;It's incredibly windy today.
Weekend Plans;Have any outdoor plans this weekend?
General Inquiry;Any new hobbies you’ve picked up?
Compliment;You always know how to lighten the mood.
Greeting;How's your morning?
Weather;This is the hottest day of the year!
Weekend Plans;Any family gatherings this weekend?
General Inquiry;What have you been up to lately?
Compliment;You're a great listener.
Greeting;How are things?
Weather;This rain is relentless.
Weekend Plans;Do you have any travel plans coming up?
General Inquiry;How's your work going?
Compliment;You're looking great today.
Greeting;Pleased to meet you.
Weather;I hope it clears up soon.
Weekend Plans;Looking forward to any events this weekend?
General Inquiry;Have you tried any new restaurants lately?
Compliment;You have a wonderful sense of style.
Greeting;What’s going on?
Weather;What a foggy day!
Weekend Plans;Going anywhere fun over the weekend?
General Inquiry;Do you have any holiday plans?
Compliment;Your enthusiasm is contagious.
Greeting;Lovely day, isn't it?
Weather;It's incredibly windy today.
Weekend Plans;Have any outdoor plans this weekend?
General Inquiry;Any new hobbies you’ve picked up?
Compliment;You always know how to lighten the mood.
Greeting;How's your morning?
Weather;This is the hottest day of the year!
Weekend Plans;Any family gatherings this weekend?
General Inquiry;What have you been up to lately?
Compliment;You're a great listener.
Greeting;How are things?
Weather;This rain is relentless.
Weekend Plans;Do you have any travel plans coming up?
General Inquiry;How's your work going?
Compliment;You're looking great today.
Greeting;Pleased to meet you.
Weather;I hope it clears up soon.
Weekend Plans;Looking forward to any events this weekend?
General Inquiry;Have you tried any new restaurants lately?
Compliment;You have a wonderful sense of style.
Greeting;What’s going on?
Weather;What a foggy day!
Weekend Plans;Going anywhere fun over the weekend?
General Inquiry;Do you have any holiday plans?
Compliment;Your enthusiasm is contagious.
Greeting;Lovely day, isn't it?
Weather;It's incredibly windy today.
Weekend Plans;Have any outdoor plans this weekend?
General Inquiry;Any new hobbies you’ve picked up?
Compliment;You always know how to lighten the mood.
Greeting;How's your morning?
Weather;This is the hottest day of the year!
Weekend Plans;Any family gatherings this weekend?
General Inquiry;What have you been up to lately?
Compliment;You're a great listener.
Greeting;Good evening!
Weather;It's a bit humid today.
Weekend Plans;Thinking of going to the beach this weekend?
General Inquiry;How are the kids?
Compliment;Your advice is always helpful.
Greeting;How's your afternoon?
Weather;The autumn leaves are beautiful.
Weekend Plans;How about a movie night this weekend?
General Inquiry;Any plans for the holidays?
Compliment;You have a great taste in music.
Greeting;What's new today?
Weather;Spring has sprung, hasn't it?
Weekend Plans;Interested in a weekend hike?
General Inquiry;How's your new project going?
Compliment;Your cooking is fantastic!
Greeting;Happy to see you.
Weather;A cold front is coming.
Weekend Plans;Planning to catch up on some reading?
General Inquiry;Found any new music recently?
Compliment;You have a knack for storytelling.
Greeting;How have you been lately?
Weather;It's a starry night tonight.
Weekend Plans;What about a weekend bike ride?
General Inquiry;How's your garden doing?
Compliment;Your artistic skills are impressive.
Greeting;Good evening!
Weather;It's a bit humid today.
Weekend Plans;Thinking of going to the beach this weekend?
General Inquiry;How are the kids?
Compliment;Your advice is always helpful.
Greeting;How's your afternoon?
Weather;The autumn leaves are beautiful.
Weekend Plans;How about a movie night this weekend?
General Inquiry;Any plans for the holidays?
Compliment;You have a great taste in music.
Greeting;What's new today?
Weather;Spring has sprung, hasn't it?
Weekend Plans;Interested in a weekend hike?
General Inquiry;How's your new project going?
Compliment;Your cooking is fantastic!
Greeting;Happy to see you.
Weather;A cold front is coming.
Weekend Plans;Planning to catch up on some reading?
General Inquiry;Found any new music recently?
Compliment;You have a knack for storytelling.
Greeting;How have you been lately?
Weather;It's a starry night tonight.
Weekend Plans;What about a weekend bike ride?
General Inquiry;How's your garden doing?
Compliment;Your artistic skills are impressive.
Greeting;Good evening!
Weather;It's a bit humid today.
Weekend Plans;Thinking of going to the beach this weekend?
General Inquiry;How are the kids?
Compliment;Your advice is always helpful.
Greeting;How's your afternoon?
Weather;The autumn leaves are beautiful.
Weekend Plans;How about a movie night this weekend?
General Inquiry;Any plans for the holidays?
Compliment;You have a great taste in music.
Greeting;What's new today?
Weather;Spring has sprung, hasn't it?
Weekend Plans;Interested in a weekend hike?
General Inquiry;How's your new project going?
Compliment;Your cooking is fantastic!
Greeting;Happy to see you.
Weather;A cold front is coming.
Weekend Plans;Planning to catch up on some reading?
General Inquiry;Found any new music recently?
Compliment;You have a knack for storytelling.
Greeting;How have you been lately?
Weather;It's a starry night tonight.
Weekend Plans;What about a weekend bike ride?
General Inquiry;How's your garden doing?
Compliment;Your artistic skills are impressive.
Greeting;Good evening!
Weather;It's a bit humid today.
Weekend Plans;Thinking of going to the beach this weekend?
General Inquiry;How are the kids?
Compliment;Your advice is always helpful.
Greeting;How's your afternoon?
Weather;The autumn leaves are beautiful.
Weekend Plans;How about a movie night this weekend?
General Inquiry;Any plans for the holidays?
Compliment;You have a great taste in music.
Greeting;What's new today?
Weather;Spring has sprung, hasn't it?
Weekend Plans;Interested in a weekend hike?
General Inquiry;How's your new project going?
Compliment;Your cooking is fantastic!
Greeting;Happy to see you.
Weather;A cold front is coming.
Weekend Plans;Planning to catch up on some reading?
General Inquiry;Found any new music recently?
Compliment;You have a knack for storytelling.
Greeting;How have you been lately?
Weather;It's a starry night tonight.
Weekend Plans;What about a weekend bike ride?
General Inquiry;How's your garden doing?
Compliment;Your artistic skills are impressive.
